barrio,dormitorios,banos,metros,franja_precio
Villa Muñoz,2.0,1.0,54.0,medio
Malvin,2.0,2.0,99.0,alto
Cerrito,2.0,1.0,300.0,bajo
Prado,2.0,2.0,130.0,alto
Atahualpa,2.0,1.0,100.0,bajo
Aguada,2.0,1.0,86.0,bajo
Malvin Norte,2.0,1.0,72.0,bajo
Carrasco,4.0,4.0,150.0,alto
Villa Española,1.0,1.0,40.0,bajo
Carrasco,2.0,3.0,139.0,alto
Parque Batlle,2.0,2.0,365.0,alto
Carrasco,2.0,1.0,1035.0,medio
Piedras Blancas,2.0,4.0,142.0,bajo
Bella Vista,3.0,2.0,95.0,bajo
Pocitos,2.0,2.0,134.0,alto
Ciudad Vieja,1.0,1.0,47.0,bajo
Prado,3.0,2.0,388.0,alto
Centro,1.0,1.0,60.0,medio
Brazo Oriental,3.0,1.0,90.0,medio
Monoambiente,2.0,1.0,46.0,bajo
Buceo,1.0,1.0,130.0,medio
Monoambiente,2.0,1.0,32.0,bajo
Belvedere,4.0,2.0,239.0,medio
La Blanqueada,2.0,1.0,71.0,medio
Pocitos,1.0,1.0,67.0,alto
Atahualpa,4.0,2.0,100.0,medio
Puerto Buceo,3.0,2.0,160.0,alto
Pocitos,3.0,3.0,115.0,alto
Centro,2.0,4.0,801.0,alto
Carrasco,4.0,3.0,230.0,alto
La Blanqueada,1.0,1.0,1.0,bajo
Cordon,2.0,2.0,100.0,medio
Cordon,1.0,1.0,4.0,medio
Prado,3.0,2.0,120.0,alto
Parque Batlle,2.0,4.0,405.0,alto
Aguada,1.0,1.0,40.0,bajo
Piedras Blancas,1.0,1.0,33.0,bajo
Cordon,2.0,1.0,77.0,medio
Pocitos,2.0,1.0,79.0,bajo
La Blanqueada,3.0,2.0,191.0,medio
Cerro,2.0,3.0,181.0,medio
Prado,2.0,1.0,71.0,medio
Pocitos,2.0,1.0,79.0,bajo
Villa Española,1.0,1.0,40.0,bajo
Punta Carretas,1.0,1.0,37.0,medio
Cordon,2.0,1.0,45.0,bajo
Parque Batlle,2.0,2.0,365.0,alto
Parque Rodo,3.0,3.0,114.0,alto
Cordon,1.0,1.0,48.0,bajo
Manga,4.0,2.0,632.0,alto
Pocitos,1.0,1.0,67.0,alto
Prado,2.0,1.0,65.0,medio
Parque Batlle,2.0,4.0,405.0,alto
Aguada,1.0,1.0,40.0,bajo
Otros,2.0,1.0,1.0,alto
Cordon,2.0,1.0,77.0,medio
Pocitos,2.0,1.0,79.0,bajo
Malvin,2.0,2.0,99.0,alto
Union,2.0,1.0,176.0,bajo
Carrasco,2.0,3.0,139.0,alto
Piedras Blancas,2.0,4.0,142.0,bajo
Prado,3.0,2.0,388.0,alto
Brazo Oriental,2.0,1.0,60.0,medio
Malvin,2.0,1.0,80.0,medio
La Blanqueada,2.0,1.0,49.0,bajo
Centro,2.0,4.0,801.0,alto
La Blanqueada,1.0,1.0,39.0,bajo
