titulo,direccion,precio,operacion,barrio,dormitorios,banos,metros,url
INVERSORES. REUS NORTE. GRAN OFERTA LANZAMIENTO !!!,GUTIERREZ y ARENAL GRANDE,U$S 124.200,Venta,Villa Muñoz,2 dormitorios,1 Baños,54 Mts,https://www.gallito.com.uy/inversores-reus-norte-gran-oferta-lanzamiento-inmuebles-27273080
Torre Arenas una nueva forma de vivir en la Rambla de Malvín,O´Higgins y 18 de Diciembre,U$S 347.000,Venta,Malvin,2 dormitorios,2 Baños,99 Mts,https://www.gallito.com.uy/torre-arenas-una-nueva-forma-de-vivir-en-la-rambla-de-malvin-inmuebles-16147517
IMPERIAL VENDE TERRENO CON MEJORAS,,U$S 65.000,Venta,Cerrito,,,300 Mts,https://www.gallito.com.uy/imperial-vende-terreno-con-mejoras-inmuebles-26848298
UNA CASA ESTILO CAMPO EN LA CIUDAD !!,Venancio Benavidez y Arapey,U$S 225.000,Venta,Prado,2 dormitorios,2 Baños,130 Mts,https://www.gallito.com.uy/una-casa-estilo-campo-en-la-ciudad-inmuebles-27548626
Apartamento en Venta 2 dormitorios y Patio en con,Evaristo Ciganda 1099 esq Joaquin Suarez - Ref: 301 y Atahualpa,U$S 98.000,Venta,Atahualpa,2 dormitorios,1 Baños,100 Mts,https://www.gallito.com.uy/apartamento-en-venta-2-dormitorios-y-patio-en-con-inmuebles-26297755
Terreno en  venta en aguada 100% FOS,Batovi al 2100,U$S 95.000,Venta,Aguada,,,86 Mts,https://www.gallito.com.uy/terreno-en-venta-en-aguada-100-fos-inmuebles-27543869
Apartamento Venta Malvin Norte Montevideo iMas.uy G *...,Camino Carrasco y Piran,U$S 72.000,Venta,Malvin Norte,2 dormitorios,1 Baños,72 Mts,https://www.gallito.com.uy/apartamento-venta-malvin-norte-montevideo-imasuy-g-inmuebles-27399020
"Venta Casa Ph de 4 dormitorios, jardín y garage en Carrasco",Nariño y Mones Roses,U$S 367.000,Venta,Carrasco,4 dormitorios,Más de 3 baños,150 Mts,https://www.gallito.com.uy/venta-casa-ph-de-4-dormitorios-jardin-y-garage-en-carrasco-inmuebles-27565030
Apartamento en Venta - Villa Española,Camino Corrales esquina Cervantes Saavedra  - Ref: 50 y Villa Española,U$S 48.000,Venta,Villa Española,1 dormitorio,1 Baños,40 Mts,https://www.gallito.com.uy/apartamento-en-venta-villa-española-inmuebles-27378875
Venta de apartamento TRENTO,TRENTO,U$S 495.000,Venta,Carrasco,2 dormitorios,3 Baños,139 Mts,https://www.gallito.com.uy/venta-de-apartamento-trento-inmuebles-25719873
DIRI BR ARTIGAS PROX TRES CRUCES - EX CLINICA 365m2,BR. ARTIGAS y ANA MONTERROSO DE LAVALLEJA,U$S 750.000,Venta,Parque Batlle,más de 4 dormitorios,2 Baños,365 Mts,https://www.gallito.com.uy/diri-br-artigas-prox-tres-cruces-ex-clinica-365m2-inmuebles-25233625
Venta Terreno 1035m2 en Carrasco Norte,,U$S 215.000,Venta,Carrasco,,,1035 Mts,https://www.gallito.com.uy/venta-terreno-1035m2-en-carrasco-norte-inmuebles-26761829
Venta 5 apartamentos alquilados. Piedras Blancas.Rent 10.49,César Cantú  esquina Aparicio Saravia y uina Aparicio Saravia,U$S 121.000,Venta,Piedras Blancas,más de 4 dormitorios,Más de 3 baños,142 Mts,https://www.gallito.com.uy/venta-5-apartamentos-alquilados-piedras-blancasrent-1049-inmuebles-26059180
AMPLIA CASA SIN GASTOS COMUNES,Prox Agraciada y Tapes,U$S 118.000,Venta,Bella Vista,3 dormitorios,2 Baños,95 Mts,https://www.gallito.com.uy/amplia-casa-sin-gastos-comunes-inmuebles-27378719
Venta Penthouse 2 dormitorios en Pocitos  con amplia terraz,Gabriel Pereira y Libertad,U$S 319.000,Venta,Pocitos,2 dormitorios,2 Baños,134 Mts,https://www.gallito.com.uy/venta-penthouse-2-dormitorios-en-pocitos-con-amplia-terraz-inmuebles-27478533
Apartamento Venta Ciudad Vieja Montevideo iMas.uy - S*...,Guarani y Washington,U$S 75.000,Venta,Ciudad Vieja,1 dormitorio,1 Baños,47 Mts,https://www.gallito.com.uy/apartamento-venta-ciudad-vieja-montevideo-imasuy-s-inmuebles-27398987
"Muy linda casa, con todas las comodidades, próx Molinos de",Francisco Miranda y Molinos de Raffo,U$S 236.000,Venta,Prado,3 dormitorios,2 Baños,388 Mts,https://www.gallito.com.uy/muy-linda-casa-con-todas-las-comodidades-prox-molinos-de-inmuebles-26096666
Apto contrafrente piso alto muy luminoso con baño y coc nvo,Galeria de LOndon y Rio Negro y Paraguay,U$S 123.000,Venta,Centro,1 dormitorio,1 Baños,60 Mts,https://www.gallito.com.uy/apto-contrafrente-piso-alto-muy-luminoso-con-baño-y-coc-nvo-inmuebles-26911939
"IMPERIALVENDE CASA ,TRES DORMS, COCHERA Y TZACON PARRILLERO.",ARECHAGA y LUIS A DE HERRERA,U$S 140.000,Venta,Brazo Oriental,3 dormitorios,1 Baños,90 Mts,https://www.gallito.com.uy/imperialvende-casa-tres-dorms-cochera-y-tzacon-parrillero-inmuebles-25169859
Venta apartamento monoambiente en Cordón,Mercedes y Magallanes,U$S 97.850,Venta,Monoambiente,,1 Baños,46 Mts,https://www.gallito.com.uy/venta-apartamento-monoambiente-en-cordon-inmuebles-27234852
"Vacía, 1 dormitorio, cochera, jardín, azotea",AV. LUIS ALBERTO DE HERRERA y RIVERA,U$S 130.000,Venta,Buceo,1 dormitorio,1 Baños,130 Mts,https://www.gallito.com.uy/vacia-1-dormitorio-cochera-jardin-azotea-inmuebles-27224782
Monoambiente 18 y Requena,Ref: 507 y Cordón,U$S 79.000,Venta,Monoambiente,,1 Baños,32 Mts,https://www.gallito.com.uy/monoambiente-18-y-requena-inmuebles-27369536
Casa cuatro dormitorios + Local en venta en Belvedere,Carlos Maria Ramirez y Blvr Manuel herrera y Obes,U$S 189.000,Venta,Belvedere,4 dormitorios,2 Baños,239 Mts,https://www.gallito.com.uy/casa-cuatro-dormitorios-local-en-venta-en-belvedere-inmuebles-27325331
Baldovino  Venta Casa LA BLANQUEADA-CATALA y CHIAVARI,Jose Catala y Chiavari,U$S 145.000,Venta,La Blanqueada,2 dormitorios,1 Baños,71 Mts,https://www.gallito.com.uy/baldovino-venta-casa-la-blanqueada-catala-y-chiavari-inmuebles-26724754
Vento amplio apto de 1 dormitorio en construcción al frente,Roque Graseras y Br España,U$S 259.000,Venta,Pocitos,1 dormitorio,1 Baños,67 Mts,https://www.gallito.com.uy/vento-amplio-apto-de-1-dormitorio-en-construccion-al-frente-inmuebles-25438225
Ifer&Olivera Arteaga y Reyes,Juan José Arteaga y Reyes y s/d,U$S 218.000,Venta,Atahualpa,4 dormitorios,2 Baños,100 Mts,https://www.gallito.com.uy/ifer&olivera-arteaga-y-reyes-inmuebles-26876098
Apto 3 Dorm y Garage - Piso 10 al Frente - C/Vista al puerto,Luis Alberto de Herrera y Rambla Armenia,U$S 549.000,Venta,Puerto Buceo,3 dormitorios,2 Baños,160 Mts,https://www.gallito.com.uy/apto-3-dorm-y-garage-piso-10-al-frente-cvista-al-puerto-inmuebles-27544576
Venta Apartamento Pocitos Prox Rambla Amplio Luminoso alto,Manuel Vicente Pagola y Chucarro,U$S 299.000,Venta,Pocitos,3 dormitorios,3 Baños,115 Mts,https://www.gallito.com.uy/venta-apartamento-pocitos-prox-rambla-amplio-luminoso-alto-inmuebles-27378523
Venta Casa 6 dormitorios y Gran local comercial. Centro. Ex,Río Negro esquina Mercedes y uina Mercedes,U$S 910.000,Venta,Centro,más de 4 dormitorios,Más de 3 baños,801 Mts,https://www.gallito.com.uy/venta-casa-6-dormitorios-y-gran-local-comercial-centro-ex-inmuebles-21042778
Hermosa casa con jardín al frente y patio con parrillero!,... y Carrasco,U$S 360.000,Venta,Carrasco,4 dormitorios,3 Baños,230 Mts,https://www.gallito.com.uy/hermosa-casa-con-jardin-al-frente-y-patio-con-parrillero-inmuebles-27245424
"Gran lanzamiento, gran predio verde con todos los servicios",Luis A. de Herrera y Sancho Panza,U$S 110.491,Venta,La Blanqueada,1 dormitorio,1 Baños,1 Mts,https://www.gallito.com.uy/gran-lanzamiento-gran-predio-verde-con-todos-los-servicios-inmuebles-26302790
"Casa moderna y cálida. Con patio, parrillero y estufa a leña",Defensa y Enrique Muñoz,U$S 180.000,Venta,Cordon,2 dormitorios,2 Baños,100 Mts,https://www.gallito.com.uy/casa-moderna-y-calida-con-patio-parrillero-y-estufa-a-leña-inmuebles-27518897
CASATROJA VENTA APARTAMENTO 1 DORMITORIO CON GARAJE CORDÓN,Maldonado y Yaro,U$S 159.000,Venta,Cordon,1 dormitorio,1 Baños,4 Mts,https://www.gallito.com.uy/casatroja-venta-apartamento-1-dormitorio-con-garaje-cordon-inmuebles-25820495
"A estrenar,amplio,como casa,exonera imp,cochera,parrillero",Millan y Bulevar Artigas,U$S 275.000,Venta,Prado,3 dormitorios,2 Baños,120 Mts,https://www.gallito.com.uy/a-estrenar-amplio-como-casa-exonera-imp-cochera-parrillero-inmuebles-27003045
PROXIMO A PONCE Y BOSH. FONDO. BARBACOA. 5 DORM. + SERV...,Doctor Enrique Pouey y Esquina,U$S 750.000,Venta,Parque Batlle,más de 4 dormitorios,Más de 3 baños,405 Mts,https://www.gallito.com.uy/proximo-a-ponce-y-bosh-fondo-barbacoa-5-dorm-serv-inmuebles-25828171
Dueño Vende - vivienda o inversión,Gral Fausto Aguilar y Paraguay,U$S 89.000,Venta,Aguada,1 dormitorio,1 Baños,40 Mts,https://www.gallito.com.uy/dueño-vende-vivienda-o-inversion-inmuebles-27530428
Venta apartamento   de un (1) dormitorio alquilado- Piedras,César Cantú 3965 apto 08,U$S 25.900,Venta,Piedras Blancas,1 dormitorio,1 Baños,33 Mts,https://www.gallito.com.uy/venta-apartamento-de-un-1-dormitorio-alquilado-piedras-inmuebles-25459313
Particular vende 2 dorm. con  garage para 2 autos,Constituyente y Yaro,U$S 199.000,Venta,Cordon,2 dormitorios,1 Baños,77 Mts,https://www.gallito.com.uy/particular-vende-2-dorm-con-garage-para-2-autos-inmuebles-27370323
"Edificios en Venta, con Renta - Pocitos",Pocitos,U$S 1,Venta,Pocitos,,,,https://www.gallito.com.uy/edificios-en-venta-con-renta-pocitos-inmuebles-27112669
"Hermosa casa en Carrasquito de Canal 5, Juan y",Ref: 483 y La Blanqueada,U$S 210.000,Venta,La Blanqueada,3 dormitorios,2 Baños,191 Mts,https://www.gallito.com.uy/hermosa-casa-en-carrasquito-de-canal-5-juan-y-inmuebles-27117883
Casas Venta Centro,Nueva York y Cuareim,U$S 180.000,Venta,Cerro,más de 4 dormitorios,3 Baños,181 Mts,https://www.gallito.com.uy/casas-venta-centro-inmuebles-21355230
Venta apartamento 2 Dormitorios en el Prado con parrillero,Av. Lucas Obes y Av. 19 de Abril,U$S 169.000,Venta,Prado,2 dormitorios,1 Baños,71 Mts,https://www.gallito.com.uy/venta-apartamento-2-dormitorios-en-el-prado-con-parrillero-inmuebles-26911694
Vendo garaje comodo en Pocitos Nuevo,26 de Marzo 3265 y Buxareo,U$S 18.000,Venta,Pocitos,,,,https://www.gallito.com.uy/vendo-garaje-comodo-en-pocitos-nuevo-inmuebles-25102071
Apartamento en Venta - Villa Española,Camino Corrales esquina Cervantes Saavedra  - Ref: 50 y Villa Española,U$S 48.000,Venta,Villa Española,1 dormitorio,1 Baños,40 Mts,https://www.gallito.com.uy/apartamento-en-venta-villa-española-inmuebles-27378875
Monisimo apartamento . Gran terraza con parrillero y gge,Echeverria y 21 de setiembre,U$S 175.000,Venta,Punta Carretas,1 dormitorio,1 Baños,37 Mts,https://www.gallito.com.uy/monisimo-apartamento-gran-terraza-con-parrillero-y-gge-inmuebles-26265842
Oficina Venta Cordón Torre Uruguay Brandzen 1961,Branzen y Arenal Grande,U$S 69.000,Venta,Cordon,,1 Baños,45 Mts,https://www.gallito.com.uy/oficina-venta-cordon-torre-uruguay-brandzen-1961-inmuebles-20740588
DIRI BR ARTIGAS PROX TRES CRUCES - EX CLINICA 365m2,BR. ARTIGAS y ANA MONTERROSO DE LAVALLEJA,U$S 750.000,Venta,Parque Batlle,más de 4 dormitorios,2 Baños,365 Mts,https://www.gallito.com.uy/diri-br-artigas-prox-tres-cruces-ex-clinica-365m2-inmuebles-25233625
De estilo con gran localización,Patria y José H. Figueira,U$S 360.000,Venta,Parque Rodo,3 dormitorios,3 Baños,114 Mts,https://www.gallito.com.uy/de-estilo-con-gran-localizacion-inmuebles-25919237
Apartamento en Venta,18 De Julio y Joaquín Requena,U$S 108.000,Venta,Cordon,1 dormitorio,1 Baños,48 Mts,https://www.gallito.com.uy/apartamento-en-venta-inmuebles-27535486
Espectacular Casa En Puntas De Manga,"Avenida Pedro de Mendoza & Ruta 102-Wilson Ferreira Aldunate, Departam y Esquina",U$S 320.000,Venta,Manga,4 dormitorios,2 Baños,632 Mts,https://www.gallito.com.uy/espectacular-casa-en-puntas-de-manga-inmuebles-25018493
Vento amplio apto de 1 dormitorio en construcción al frente,Roque Graseras y Br España,U$S 259.000,Venta,Pocitos,1 dormitorio,1 Baños,67 Mts,https://www.gallito.com.uy/vento-amplio-apto-de-1-dormitorio-en-construccion-al-frente-inmuebles-25438225
Ifer&Olivera Bv. Artigas y Millan,Bv. Artigas esq. Millán y s/d,U$S 209.000,Venta,Prado,2 dormitorios,1 Baños,65 Mts,https://www.gallito.com.uy/ifer&olivera-bv-artigas-y-millan-inmuebles-27004660
PROXIMO A PONCE Y BOSH. FONDO. BARBACOA. 5 DORM. + SERV...,Doctor Enrique Pouey y Esquina,U$S 750.000,Venta,Parque Batlle,más de 4 dormitorios,Más de 3 baños,405 Mts,https://www.gallito.com.uy/proximo-a-ponce-y-bosh-fondo-barbacoa-5-dorm-serv-inmuebles-25828171
